LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18527275,3/23/18 18:35,3/23/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND WALNUT DR, LOS ANGELES, CA",FLORENCE AVE AND WALNUT DR,LOS ANGELES,,918-04420-2173,2173,4420,NO,CA01900V3,CENTURY,N
18527329,3/23/18 19:21,3/23/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND WALNUT DR, LOS ANGELES, CA",FLORENCE AVE AND WALNUT DR,LOS ANGELES,,918-04422-2173,2173,4422,NO,CA01900V3,CENTURY,N
18514123,3/12/18 1:40,3/12/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"APRICOT DR AND 19TH ST E, PALMDALE, CA",APRICOT DR AND 19TH ST E,PALMDALE,,918-03560-2608,2608,3560,NO,CA01900W9,PALMDALE,N
18681838,8/29/18 6:45,8/29/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"W WINNETKA AVE, CHATSWORTH, CA",W WINNETKA AVE,CHATSWORTH,,918-00205-6153,6153,205,NO,CA01900V6,METROLINK BUREAU,N
18642316,7/18/18 13:56,7/18/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND GRAHAM AVE, LOS ANGELES, CA",FLORENCE AVE AND GRAHAM AVE,LOS ANGELES,,918-10440-2172,2172,10440,NO,CA01900V3,CENTURY,N
18541955,4/8/18 19:40,4/8/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"16000 GALE AVE, HACIENDA HEIGHTS, CA  91745",16000 GALE AVE,HACIENDA HEIGHTS,91745,918-04726-1473,1473,4726,NO,CA0190014,INDUSTRY,N
18555000,4/20/18 10:20,4/20/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"15700 VALLEY VIEW AVE, LA MIRADA, CA",15700 VALLEY VIEW AVE,LA MIRADA,,918-06186-0466,466,6186,NO,CA0190004,NORWALK,N
18763726,11/24/18 9:23,11/24/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"100 E ARROW HWY, COVINA, CA",100 E ARROW HWY,COVINA,,918-06321-0862,862,6321,NO,CA0190008,SAN DIMAS,N
18695545,9/12/18 14:17,9/12/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"PAMELEE AVE AND 76TH ST, LOS ANGELES, CA",PAMELEE AVE AND 76TH ST,LOS ANGELES,,918-13351-2172,2172,13351,NO,CA01900V3,CENTURY,N
18743665,11/1/18 11:50,11/1/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"1000 E AVENUE J, LANCASTER, CA",1000 E AVENUE J,LANCASTER,,918-22661-1135,1135,22661,NO,CA0190024,LANCASTER,N
18737562,10/25/18 20:37,10/25/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND HOOPER ST, LOS ANGELES, CA",FLORENCE AVE AND HOOPER ST,LOS ANGELES,,918-15581-2170,2170,15581,NO,CA01900V3,CENTURY,N
18559807,4/25/18 8:45,4/25/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"GREEN ST AND ROSEMEAD BLVD, PASADENA, CA  91107",GREEN ST AND ROSEMEAD BLVD,PASADENA,91107,918-05042-0590,590,5042,NO,CA0190005,TEMPLE,N
18682368,8/29/18 16:13,8/29/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"WHITTIER BLVD AND ESPERANZA AVE, WHITTIER, CA",WHITTIER BLVD AND ESPERANZA AVE,WHITTIER,,918-06006-1575,1575,6006,NO,CA0190015,PICO RIVERA,N
18484361,2/9/18 14:57,2/9/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"105 FWY AND GARFIELD AVE, PARAMOUNT, CA  90723",105 FWY AND GARFIELD AVE,PARAMOUNT,90723,918-03289-1361,1361,3289,NO,CA0190013,LAKEWOOD,N
